day,agarose,arm,coating,series,resolved,v_front,v_front_se,v_origin,v_d90,n_rise,front_max,front_6h,wall_mm,t_wall
Day 1,0.4%,large,COOH,COOH_L1,True,1.3482142857142858,0.09959349064414233,1.3791208791208793,0.03485902114935467,7,4.312500000000001,3.6666666666666674,4.333333333333334,3.5
Day 1,0.4%,large,COOH,COOH_L2,True,1.391666666666667,0.1328985968211735,1.438888888888889,-0.041583001914073936,5,4.437500000000001,4.416666666666667,4.458333333333334,2.5
Day 1,0.4%,large,COOH,COOH_L3,True,1.2247023809523812,0.11834427646535677,1.1405677655677655,0.20431148507160174,7,4.020833333333334,3.958333333333334,4.062500000000001,3.5
Day 1,0.4%,small,COOH,COOH_S1,True,0.5505952380952381,0.2246067677372583,0.35897435897435903,-0.03705568145619319,7,1.5000000000000002,0.41666666666666674,4.020833333333334,
Day 1,0.4%,small,COOH,COOH_S2,True,0.019345238095238106,0.18302845514060503,0.108974358974359,0.4309729743070424,7,1.6458333333333335,0.3125,4.250000000000001,
Day 1,0.4%,small,COOH,COOH_S3,False,0.0,,0.0,0.2352098035375284,7,1.5000000000000002,1.5000000000000002,4.312500000000001,
Day 1,0.4%,control,COOH,COOH_control,False,0.0,,0.0,1.0178553410792954,7,1.0,0.0,3.6875000000000004,
Day 2,0.6%,control,COOH,COOH_non-BSA_control,False,-0.4970238095238096,0.09743558544319211,-0.4372710622710623,0.21057877527250615,7,0.0,0.0,3.5000000000000004,
Day 2,0.6%,large,COOH,COOH_non-BSA_r1,True,0.19642857142857145,0.2552870644211551,0.37225274725274726,1.2277742149329687,7,1.4791666666666667,0.6875000000000001,4.520833333333334,
Day 2,0.6%,large,COOH,COOH_non-BSA_r2,True,1.3440476190476192,0.1466961035188188,1.2212121212121216,0.07641334542151049,6,4.604166666666667,4.604166666666667,4.604166666666667,3.0
Day 2,0.6%,large,COOH,COOH_non-BSA_r3,True,0.886904761904762,0.12447451906190124,0.7000915750915752,-0.1094627313716702,7,3.5000000000000004,3.479166666666667,3.583333333333334,4.0
Day 1,0.4%,large,PEG,PEG_L1,True,1.4333333333333336,0.11159616348111479,1.4194444444444447,-0.18138422360067813,5,4.208333333333334,4.208333333333334,4.229166666666667,2.5
Day 1,0.4%,large,PEG,PEG_L2,True,1.1916666666666669,0.11970256348008361,1.2527777777777778,-0.024666215884521937,5,4.250000000000001,4.250000000000001,4.270833333333334,2.5
Day 1,0.4%,large,PEG,PEG_L3,False,0.0,,0.0,-0.1638828569935061,7,0.0,0.0,3.8125000000000004,
Day 1,0.4%,small,PEG,PEG_S1,True,0.349702380952381,0.09704161025722519,0.505952380952381,0.8249771718287403,7,1.854166666666667,1.729166666666667,4.458333333333334,
Day 1,0.4%,small,PEG,PEG_S2,True,0.3824404761904763,0.08701222563121258,0.28800366300366304,-0.05401005626644422,7,1.7708333333333335,1.7708333333333335,4.375000000000001,
Day 1,0.4%,small,PEG,PEG_S3,False,0.0,,0.0,0.10176564632425256,7,0.0,0.0,3.791666666666667,
Day 1,0.4%,control,PEG,PEG_control,False,0.0,,0.0,-0.3418940813900326,7,0.0,0.0,4.062500000000001,
Day 2,0.6%,control,PEG,PEG_non-BSA_control,False,0.0,,0.0,-0.07997264912969244,7,0.0,-0.6041666666666667,4.541666666666667,
Day 2,0.6%,large,PEG,PEG_non-BSA_r1,True,0.380952380952381,0.3535784430921959,0.40567765567765574,0.9406731610638938,7,2.3958333333333335,0.7083333333333334,4.479166666666667,
Day 2,0.6%,large,PEG,PEG_non-BSA_r2,False,0.0,,0.0,0.43061218950005653,7,0.0,-0.8333333333333335,4.437500000000001,
Day 2,0.6%,large,PEG,PEG_non-BSA_r3,True,0.32738095238095244,0.2561806844473256,0.3493589743589744,0.48794181151535093,7,1.6250000000000002,-0.9375000000000001,4.187500000000001,
